,Company,Ticker
316,Everest Re,RE
317,Evergy,EVRG
318,Eversource Energy,ES
319,Domtar Corporation,UFS
320,Donaldson Company,DCI
321,Expedia Group,EXPE
322,Expeditors International,EXPD
323,Extended Stay America,STAY
324,Extra Space Storage,EXR
325,Extraction Oil & Gas,XOG
326,ExxonMobil,XOM
327,F5 Networks,FFIV
328,Facebook,FB
329,FactSet,FDS
330,Fair Isaac,FICO
331,Fastenal,FAST
332,Federal Realty Investment Trust,FRT
333,FedEx,FDX
334,FIS,FIS
335,Fifth Third Bancorp,FITB
336,FireEye,FEYE
337,First American Corporation,FAF
338,First Citizens BancShares,FCNCA
339,First Data Corporation,FDC
340,First Hawaiian Bank,FHB
341,First Horizon National Corporation,FHN
342,First Republic Bank,FRC
343,First Solar,FSLR
344,FirstEnergy,FE
345,Fiserv,FISV
346,Fleetcor,FLT
347,Flir Systems,FLIR
348,Floor & Decor,FND
349,Flowers Foods,FLO
350,Flowserve,FLS
351,Fluor Corporation,FLR
352,FMC Corporation,FMC
353,FNB Corporation,FNB
354,Fidelity National Financial,FNF
355,Foot Locker,FL
356,Ford,F
357,Fortinet,FTNT
358,Fortive Corporation,FTV
359,Fortune Brands Home & Security,FBHS
360,Fox Corporation (Class A),FOXA
361,Fox Corporation (Class B),FOX
362,Franklin Resources,BEN
363,Freeport-McMoRan,FCX
364,Arthur J. Gallagher & Co.,AJG
365,Gaming and Leisure Properties,GLPI
366,Gap Inc.,GPS
367,Exact Sciences,EXAS
368,Exelixis,EXEL
369,Exelon,EXC
370,Gates Corporation,GTES
371,GCI Liberty,GLIBA
372,General Dynamics,GD
373,General Electric,GE
374,General Mills,GIS
375,General Motors,GM
376,Genesee & Wyoming,GWR
377,Genpact,G
378,Gentex,GNTX
379,Genuine Parts,GPC
380,Gilead Sciences,GILD
381,Global Payments,GPN
382,Globe Life Inc.,GL
383,GoDaddy,GDDY
384,Goldman Sachs,GS
385,Goodyear Tire & Rubber,GT
386,W. R. Grace and Company,GRA
387,Graco,GGG
388,GrafTech,EAF
389,Graham Holdings Company,GHC
390,W. W. Grainger,GWW
391,Grand Canyon Education,LOPE
392,Graphic Packaging,GPK
393,Grubhub,GRUB
394,Guidewire Software,GWRE
395,Hain Celestial,HAIN
396,Halliburton,HAL
397,Hanesbrands,HBI
398,Hanover Insurance,THG
399,Harley Davidson,HOG
400,The Hartford,HIG
401,Hasbro,HAS
402,Hawaiian Electric Industries,HE
403,HCA Healthcare,HCA
404,Healthcare Trust America,HTA
405,Healthpeak Properties,PEAK
406,HEICO (Class A),HEI.A
